inflected_form,lemma
disputations,disputation
disputed,dispute
disputes,dispute
disputing,dispute
disqualifications,disqualification
disqualified,disqualify
disqualifiers,disqualifier
disqualifies,disqualify
disqualifying,disqualify
disquieted,disquiet
disquieting,disquiet
disquiets,disquiet
disquisitions,disquisition
disregarded,disregard
disregarders,disregarder
disregarding,disregard
disregards,disregard
disremembering,disremember
disrespected,disrespect
disrespecting,disrespect
disrespects,disrespect
disrobed,disrobe
disrobes,disrobe
disrobing,disrobe
disrupted,disrupt
disrupters,disrupter
disrupting,disrupt
disruptions,disruption
disruptiver,disruptive
disruptors,disruptor
disrupts,disrupt
dissatisfied,dissatisfy
dissatisfies,dissatisfy
dissatisfying,dissatisfy
dissavings,dissaving
dissected,dissect
dissecting,dissect
dissections,dissection
dissects,dissect
dissembled,dissemble
dissemblers,dissembler
dissembles,dissemble
dissembling,dissemble
disseminated,disseminate
disseminates,disseminate
disseminating,disseminate
disseminations,dissemination
disseminators,disseminator
dissensions,dissension
dissented,dissent
dissenters,dissenter
dissenting,dissent
dissents,dissent
dissertations,dissertation
disserved,disserve
disserves,disserve
disservices,disservice
disserving,disserve
dissidents,dissident
dissimilarities,dissimilarity
dissimulated,dissimulate
dissipated,dissipate
dissipaters,dissipater
dissipates,dissipate
dissipating,dissipate
dissipations,dissipation
dissociated,dissociate
dissociates,dissociate
dissociating,dissociate
dissolutions,dissolution
dissolved,dissolve
dissolves,dissolve
dissolving,dissolve
dissonances,dissonance
dissuaded,dissuade
dissuaders,dissuader
dissuades,dissuade
dissuading,dissuade
distaffs,distaff
distanced,distance
distances,distance
distancing,distance
distastes,distaste
distempered,distemper
distended,distend
distending,distend
distends,distend
distillates,distillate
distillations,distillation
distilled,distil
distilled-spirits,distilled-spirit
distilleries,distillery
distillers,distiller
distilling,distil
distills,distill
distils,distil
distinctions,distinction
distinguished,distinguish
distinguishers,distinguisher
distinguishes,distinguish
distinguishing,distinguish
distorted,distort
distorters,distorter
distorting,distort
distortions,distortion
distorts,distort
distracted,distract
distracters,distracter
distracting,distract
distractions,distraction
distracts,distract
distrainers,distrainer
distressed,distress
distresses,distress
distressing,distress
distributaries,distributary
distributed,distribute
distributers,distributer
distributes,distribute
distributing,distribute
distributions,distribution
distributives,distributive
distributors,distributor
distributorships,distributorship
districted,district
districting,district
districts,district
distrusted,distrust
distrusting,distrust
distrusts,distrust
disturbances,disturbance
disturbed,disturb
disturbers,disturber
disturbing,disturb
disturbs,disturb
disunited,disunite
disunites,disunite
disuniting,disunite
ditas,dita
ditched,ditch
ditches,ditch
ditching,ditch
dithered,dither
ditherers,ditherer
dithering,dither
dithers,dither
dithyrambs,dithyramb
ditties,ditty
dittoed,ditto
dittoing,ditto
dittos,ditto
diuretics,diuretic
divagations,divagation
divans,divan
divas,diva
dive-bombed,dive-bomb
dive-bombers,dive-bomber
dive-bombing,dive-bomb
dive-bombs,dive-bomb
divebombed,divebomb
divebombing,divebomb
divebombs,divebomb
dived,dive
diverged,diverge
divergences,divergence
diverges,diverge
diverging,diverge
divers,diver
diversifed,diversif
diversifications,diversification
diversified,diversify
diversified-products,diversified-product
diversifiers,diversifier
diversifies,diversify
diversifying,diversify
diversions,diversion
diversities,diversity
diverted,divert
diverters,diverter
diverticula,diverticulum
diverting,divert
divertissements,divertissement
diverts,divert
dives,dive
divested,divest
divesting,divest
divestitures,divestiture
divestments,divestment
divests,divest
divestures,divesture
divided,divide
dividend-paying,dividend-pay
dividends,dividend
dividers,divider
divides,divide
dividing,divide
divinations,divination
divined,divine
diviners,diviner
divines,divine
diving,dive
divining,divine
divinities,divinity
divinized,divinize
divis,divi
divisions,division
divisors,divisor
divorced,divorce
divorcees,divorcee
divorces,divorce
divorcing,divorce
divots,divot
divs,div
divulged,divulge
divulgences,divulgence
divulges,divulge
divulging,divulge
divvied,divvy
divvies,divvy
divvying,divvy
diwans,diwan
dixies,dixie
dizzied,dizzy
dizzier,dizzy
dizzies,dizzy
dizziest,dizzy
dizzying,dizzy
djiboutians,djiboutian
djinns,djinn
do-gooders,do-gooder
do-it-yourselfers,do-it-yourselfer
do-nothing,do-noth
do-si-dos,do-si-do
dobbies,dobby
dobbins,dobbin
doblas,dobla
dobsonflies,dobsonfly
docents,docent
dockages,dockage
docked,dock
dockers,docker
docketed,docket
docketing,docket
dockets,docket
docking,dock
docklands,dockland
docks,dock
dockworkers,dockworker
dockyards,dockyard
docs,doc
doctorates,doctorate
doctored,doctor
doctoring,doctor
doctors,doctor
doctrines,doctrine
document-processing,document-process
documentaries,documentary
documentations,documentation
documented,document
documenting,document
documents,document
doddered,dodder
doddering,dodder
dodders,dodder
dodged,dodge
dodgems,dodgem
dodgers,dodger
dodges,dodge
dodgier,dodgy
dodgiest,dodgy
dodging,dodge
dodoes,dodo
dodos,dodo
doers,doer
does,do
does,doe
doffed,doff
doffers,doffer
doffing,doff
doffs,doff
dog-days,dog-day
dog-eared,dog-ear
dog-ears,dog-ear
dog-paddled,dog-paddle
dog-paddles,dog-paddle
dogcatchers,dogcatcher
dogeared,dogear
dogears,dogear
doges,doge
dogfights,dogfight
dogged,dog
doggers,dogger
doggier,doggy
doggies,doggy
doggiest,doggy
dogging,dog
doghouses,doghouse
doglegs,dogleg
dogmas,dogma
dogmatised,dogmatise
dogmatists,dogmatist
dogs,dog
dogtrots,dogtrot
dogwoods,dogwood
dohs,doh
doilies,doily
doing,do
doings,doing
dojos,dojo
doled,dole
doles,dole
doling,dole
dollars,dollar
dollars-and-cents,dollars-and-cent
dollied,dolly
dollies,dolly
dollops,dollop
dolls,doll
dollying,dolly
dollys,dolly
dolmens,dolmen
dolomites,dolomite
dolours,dolour
dolphins,dolphin
dols,dol
dolts,dolt
domains,domain
domed,dome
domes,dome
domestic-banking,domestic-bank
domesticated,domesticate
domesticates,domesticate
domesticating,domesticate
domestications,domestication
domesticators,domesticator
domestics,domestic
domiciled,domicile
domiciles,domicile
domiciling,domicile
dominances,dominance
dominants,dominant
dominated,dominate
dominates,dominate
dominating,dominate
dominations,domination
dominators,dominator
domineered,domineer
domineering,domineer
domineers,domineer
dominees,dominee
doming,dome
dominicans,dominican
dominics,dominic
dominoes,domino
dominos,domino
doms,dom
donalds,donald
donaldsons,donaldson
donated,donate
donates,donate
donating,donate
donations,donation
donators,donator
doncasters,doncaster
done,do
donees,donee
doner,done
dones,done
dongas,donga
donged,dong
dongs,dong
donkeys,donkey
donnas,donna
donned,don
donning,don
donnybrooks,donnybrook
donors,donor
donorships,donorship
dons,don
donuts,donut
doo-dads,doo-dad
doodads,doodad
doodlebugs,doodlebug
doodled,doodle
doodlers,doodler
doodles,doodle
doodling,doodle
doomed,doom
dooming,doom
dooms,doom
doomsayers,doomsayer
doomsdays,doomsday
door-knobs,door-knob
door-knockers,door-knocker
door-mats,door-mat
doorbells,doorbell
doorhandles,doorhandle
doorjambs,doorjamb
doorkeepers,doorkeeper
doorknobs,doorknob
doormats,doormat
doormen,doorman
doornails,doornail
doorposts,doorpost
doors,door
doorsills,doorsill
doorsteps,doorstep
doorstoppers,doorstopper
doorstops,doorstop
doorways,doorway
dooryards,dooryard
dopants,dopant
doped,dope
dopers,doper
dopes,dope
dopier,dopey
dopiest,dopey
doping,dope
doras,dora
doreens,doreen
dories,dory
dormers,dormer
dormice,dormouse
dormitories,dormitory
dorms,dorm
dorothys,dorothy
dorps,dorp
dors,dor
dorsa,dorsum
dorsets,dorset
dortmunds,dortmund
dos,do
dosages,dosage
dosed,dose
doses,dose
dosimeters,dosimeter
dosimetrists,dosimetrist
dosing,dose
dosses,doss
dossiers,dossier
doted,dote
dotes,dote
doth,do
doting,dote
dots,dot
dotted,dot
dotterels,dotterel
dotters,dotter
dotting,dot
double-billing,double-bill
double-bogeyed,double-bogey
double-bogeying,double-bogey
double-bogeys,double-bogey
double-checked,double-check
double-checking,double-check
double-checks,double-check
double-counting,double-count
double-crossed,double-cross
double-crosses,double-cross
double-crossing,double-cross
double-dealings,double-dealing
double-deckers,double-decker
double-digits,double-digit
double-faulted,double-fault
double-faulting,double-fault
double-faults,double-fault
double-headers,double-header
double-parked,double-park
double-parking,double-park
double-spaced,double-space
double-stopped,double-stop
double-stops,double-stop
double-timed,double-time
double-timing,double-time
doublechecking,doublecheck
doublecrossers,doublecrosser
doublecrosses,doublecross
doublecrossing,doublecross
doubled,double
doubledeckers,doubledecker
doubleheaders,doubleheader
doubleparked,doublepark
doublers,doubler
doubles,double
doublespaces,doublespace
doublets,doublet
doubling,double
doubloons,doubloon
doubted,doubt
doubters,doubter
doubting,doubt
doubts,doubt
douched,douche
douches,douche
douching,douche
doughboys,doughboy
doughier,doughy
doughnuts,doughnut
doughs,dough
doughtier,doughty
doughtiest,doughty
douglases,douglas
dougs,doug
dourest,dour
doused,douse
douses,douse
dousing,douse
dove,dive
dovecotes,dovecote
dover,dove
dovers,dover
doves,dove
dovetailed,dovetail
dovetailing,dovetail
dovetails,dovetail
dowagers,dowager
dowdier,dowdy
dowels,dowel
dowers,dower
dowing,dow
dowitchers,dowitcher
down-and-outs,down-and-out
down-payments,down-payment
downbeats,downbeat
downdrafts,downdraft
downed,down
downers,downer
downfalls,downfall
downgraded,downgrade
downgrades,downgrade
downgrading,downgrade
downgradings,downgrading
downhiller,downhill
downhills,downhill
downing,down
downpayments,downpayment
downpipes,downpipe
downplayed,downplay
downplaying,downplay
downplays,downplay
downpours,downpour
downs,down
downsized,downsize
downsizing,downsize
downspouts,downspout
downswings,downswing
downticks,downtick
downtowner,downtown
downtowners,downtowner
downtowns,downtown
downtrends,downtrend
downturns,downturn
downwinder,downwind
dowries,dowry
dows,dow
dowsed,dowse
dowsers,dowser
dowses,dowse
dowsing,dowse
doxies,doxy
doxologies,doxology
doyennes,doyenne
doyens,doyen
dozed,doze
dozens,dozen
dozers,dozer
dozes,doze
dozier,dozy
doziest,dozy
dozing,doze
drabber,drab
drabbest,drab
drabbles,drabble
drabs,drab
dracaenas,dracaena
drachmas,drachma
drafted,draft
draftees,draftee
drafters,drafter
drafting,draft
drafts,draft
draftsmen,draftsman
drag-hunting,drag-hunt
dragged,drag
dragging,drag
draglines,dragline
dragnets,dragnet
dragonets,dragonet
dragonflies,dragonfly
dragons,dragon
dragooned,dragoon
dragoons,dragoon
drags,drag
dragsters,dragster
drainages,drainage
drained,drain
drainers,drainer
draining,drain
drainpipes,drainpipe
drains,drain
drakes,drake
dramas,drama
dramatisations,dramatisation
dramatised,dramatise
dramatises,dramatise
dramatising,dramatise
dramatists,dramatist
dramatizations,dramatization
dramatized,dramatize
dramatizes,dramatize
dramatizing,dramatize
dramaturges,dramaturge
dramedies,dramedy
drams,dram
drank,drink
draped,drape
draperies,drapery
drapers,draper
drapes,drape
draping,drape
draughts,draught
draughtsmen,draughtsman
draw-downs,draw-down
drawbacks,drawback
drawbars,drawbar
drawbridges,drawbridge
drawdowns,drawdown
drawers,drawer
drawing,draw
drawing-rooms,drawing-room
drawings,drawing
drawled,drawl
drawlers,drawler
drawling,drawl
drawls,drawl
drawn,draw
draws,draw
drawstrings,drawstring
drays,dray
dreaded,dread
dreading,dread
dreadlocks,dreadlock
dreadnaughts,dreadnaught
dreadnoughts,dreadnought
dreads,dread
dreamed,dream
dreamers,dreamer
dreamgirls,dreamgirl
dreamier,dreamy
dreamiest,dreamy
dreaming,dream
dreamlands,dreamland
dreams,dream
dreamt,dream
dreamworlds,dreamworld
drearier,dreary
dreariest,dreary
dredged,dredge
dredgers,dredger
dredges,dredge
dredging,dredge
dregs,dreg
drenched,drench
drenches,drench
drenching,drench
dresdens,dresden
dressed,dress
dressers,dresser
dresses,dress
dressier,dressy
dressiest,dressy
dressing,dress
dressing-downs,dressing-down
dressing-gowns,dressing-gown
dressings,dressing
dressmakers,dressmaker
drew,draw
drgs,drg
dribbled,dribble
dribblers,dribbler
dribbles,dribble
dribbling,dribble
driblets,driblet
dried,dry
drier,dry
driers,drier
dries,dry
driest,dry
drift-nets,drift-net
drifted,drift
drifters,drifter
drifting,drift
driftnets,driftnet
drifts,drift
driftwoods,driftwood
drilled,drill
drillers,driller
drilling,drill
drillings,drilling
drillmasters,drillmaster
drills,drill
drinkers,drinker
drinking,drink
drinks,drink
dripped,drip
drippier,drippy
drippiest,drippy
dripping,drip
drippings,dripping
drips,drip
drive-ins,drive-in
driveling,drivel
drivelled,drivel
drivelling,drivel
driven,drive
drivers,driver
drives,drive
driveways,driveway
driving,drive
drizzled,drizzle
drizzles,drizzle
drizzling,drizzle
droits,droit
drolleries,drollery
drollest,droll
dromedaries,dromedary
dromgooles,dromgoole
droned,drone
drones,drone
drongos,drongo
droning,drone
drooled,drool
drooling,drool
drools,drool
drooped,droop
drooping,droop
droops,droop
drop-kicked,drop-kick
drop-kicking,drop-kick
drop-kicks,drop-kick
drop-offs,drop-off
drop-outs,drop-out
dropkicked,dropkick
dropkicking,dropkick
dropkicks,dropkick
droplets,droplet
droplights,droplight
dropoffs,dropoff
dropouts,dropout
dropped,drop
droppers,dropper
dropping,drop
drops,drop
dropsies,dropsy
dropsondes,dropsonde
droughts,drought
drove,drive
drovers,drover
droves,drove
drowned,drown
drowning,drown
drownings,drowning
drowns,drown
drowsed,drowse
drowses,drowse
drowsier,drowsy
drowsiest,drowsy
drowsing,drowse
drs,dr
drubbed,drub
drubbing,drub
drubbings,drubbing
drubs,drub
drudged,drudge
drudgeries,drudgery
drudges,drudge
drudging,drudge
drug-abusing,drug-abuse
drug-consuming,drug-consume
drug-counseling,drug-counsel
drug-dealing,drug-deal
drug-infested,drug-infest
drug-sales,drug-sale
drug-seeking,drug-seek
drug-smuggling,drug-smuggle
drug-testing,drug-test
drug-trafficking,drug-traffick
drug-users,drug-user
drug-using,drug-use
drugged,drug
druggies,druggy
drugging,drug
druggists,druggist
druglords,druglord
drugs,drug
drugstores,drugstore
druids,druid
drum-majors,drum-major
drumbeats,drumbeat
drumheads,drumhead
drumlins,drumlin
drummed,drum
drummers,drummer
drumming,drum
drums,drum
drumsticks,drumstick
drunk,drink
drunkards,drunkard
drunker,drunk
drunkest,drunk
drunks,drunk
drupelets,drupelet
drupes,drupe
druthers,druther
dry-cleaned,dry-clean
dry-cleaners,dry-cleaner
dry-cleaning,dry-clean
dry-docked,dry-dock
dry-docking,dry-dock
dry-docks,dry-dock
dry-salted,dry-salt
dryads,dryad
drycleaned,dryclean
drycleaning,dryclean
drydocked,drydock
drydocking,drydock
drydocks,drydock
dryer,dry
dryers,dryer
dryest,dry
drying,dry
drys,dry
ds,d
dtcs,dtc
dualities,duality
duals,dual
dubbed,dub
dubbing,dub
dubbings,dubbing
dubliners,dubliner
dublins,dublin
dubs,dub
ducats,ducat
duces,duce
duchesses,duchess
duchies,duchy
duckboards,duckboard
ducked,duck
duckers,ducker
duckier,ducky
duckies,ducky
ducking,duck
ducklings,duckling
ducks,duck
duckweeds,duckweed
ducts,duct
dudes,dude
dudleys,dudley
duds,dud
dueled,duel
dueling,duel
duelists,duelist
duelled,duel
duelling,duel
duels,duel
dues,due
dues-paying,dues-pay
duest,due
duets,duet
duffed,duff
duffels,duffel
duffer,duff
duffers,duffer
duffing,duff
duffles,duffle
duffs,duff
dug,dig
dug-outs,dug-out
dugongs,dugong
dugouts,dugout
dugs,dug
dukas,duka
dukes,duke
dulcimers,dulcimer
dullards,dullard
dulled,dull
duller,dull
dullest,dull
dulling,dull
dulls,dull
dumas,duma
dumbbells,dumbbell
dumber,dumb
dumbest,dumb
dumbfounded,dumbfound
dumbfounding,dumbfound
dumbfounds,dumbfound
dumbwaiters,dumbwaiter
dumfounded,dumfound
dummied,dummy
dummies,dummy
dummying,dummy
dumped,dump
dumpers,dumper
dumpier,dumpy
dumping,dump
dumplings,dumpling
dumps,dump
dumpsters,dumpster
duncans,duncan
dunces,dunce
dundalks,dundalk
dundees,dundee
dunderheads,dunderhead
dunes,dune
dunfermlines,dunfermline
dungarees,dungaree
dungeons,dungeon
dunghills,dunghill
dunked,dunk
dunkers,dunker
dunking,dunk
dunks,dunk
dunlins,dunlin
dunned,dun
dunner,dun
dunnies,dunny
dunning,dun
dunnocks,dunnock
duns,dun
dunts,dunt
duologues,duologue
duos,duo
duotones,duotone
dupattas,dupatta
duped,dupe
dupers,duper
dupes,dupe
duping,dupe
duplexer,duplex
duplexes,duplex
duplicated,duplicate
duplicates,duplicate
duplicating,duplicate
duplications,duplication
duplicators,duplicator
duplicities,duplicity
dupped,dup
dups,dup
durable-goods,durable-good
durables,durable
durations,duration
durbans,durban
durbars,durbar
durhams,durham
durians,durian
duros,duro
dursleys,dursley
duskier,dusky
dusking,dusk
dusks,dusk
dust-bowls,dust-bowl
dust-jackets,dust-jacket
dust-sheets,dust-sheet
dust-ups,dust-up
dustbins,dustbin
dusted,dust
dusters,duster
dustier,dusty
dustiest,dusty
dusting,dust
dustmen,dustman
dustpans,dustpan
dusts,dust
dustups,dustup
dutchmen,dutchman
duties,duty
duvalierists,duvalierist
duvaliers,duvalier
duvets,duvet
duxes,dux
dwarfed,dwarf
dwarfing,dwarf
dwarfs,dwarf
dwarves,dwarve
dwelled,dwell
dwellers,dweller
dwelling,dwell
dwellings,dwelling
dwells,dwell
dwelt,dwell
dwindled,dwindle
dwindles,dwindle
dwindling,dwindle
dyads,dyad
dyed,dye
dyeing,dye
dyers,dyer
dyes,dye
dyestuffs,dyestuff
dying,die
dykes,dyke
dyking,dyke
dynamited,dynamite
dynamiters,dynamiter
dynamites,dynamite
dynamiting,dynamite
dynamometers,dynamometer
dynamos,dynamo
dynasties,dynasty
dynasts,dynast
dynes,dyne
dyscrasias,dyscrasia
dysfunctions,dysfunction
dysplasias,dysplasia
dystopias,dystopia
dystrophies,dystrophy
eagers,eager
eagles,eagle
eaglets,eaglet
earaches,earache
earbashing,earbash
eardrops,eardrop
eardrums,eardrum
eared,ear
earflaps,earflap
earfuls,earful
earing,ear
earings,earing
earlier,early
earliest,early
earls,earl
earmarked,earmark
earmarking,earmark
earmarks,earmark
earmuffs,earmuff
earn-outs,earn-out
earned,earn
earners,earner
earning,earn
earnings,earning
earns,earn
earphones,earphone
earpieces,earpiece
earplugs,earplug
earrings,earring
ears,ear
earthed,earth
earthier,earthy
earthiest,earthy
earthing,earth
earthlings,earthling
earthmen,earthman
earthquakes,earthquake
earths,earth
earthworks,earthwork
earthworms,earthworm
earwigged,earwig
earwigging,earwig
earwigs,earwig
eased,ease
easels,easel
easements,easement
easers,easer
eases,ease
easier,easy
easiest,easy
easing,ease
easings,easing
eastenders,eastender
easter,east
easterlies,easterly
easterner,eastern
easterners,easterner
easters,easter
eastleighs,eastleigh
easts,east
eastwards,eastward
eaten,eat
eateries,eatery
eaters,eater
eating,eat
eatings,eating
eats,eat
eavesdropped,eavesdrop
eavesdroppers,eavesdropper
eavesdropping,eavesdrop
eavesdrops,eavesdrop
ebbed,ebb
ebbing,ebb
ebbs,ebb
ebonies,ebony
ebonized,ebonize
ebullitions,ebullition
ecads,ecad
eccentricities,eccentricity
eccentrics,eccentric
eccleses,eccles
ecclesiae,ecclesia
ecclesiastics,ecclesiastic
echelons,echelon
echeverias,echeveria
echidnas,echidna
echinoderms,echinoderm
echo-sounders,echo-sounder
echoed,echo
echoes,echo
echoing,echo
echos,echo
eclectics,eclectic
eclipsed,eclipse
eclipsers,eclipser
eclipses,eclipse
eclipsing,eclipse
eco-systems,eco-system
ecoles,ecole
ecologies,ecology
ecologists,ecologist
econometricians,econometrician
economic-affairs,economic-affair
economies,economy
economised,economise
economisers,economiser
economises,economise
economising,economise
economists,economist
economized,economize
economizers,economizer
economizes,economize
economizing,economize
ecosystems,ecosystem
ecotypes,ecotype
ecrus,ecru
ecstasies,ecstasy
ecstatics,ecstatic
ectomorphs,ectomorph
ectoparasites,ectoparasite
ectoplasms,ectoplasm
ecuadorians,ecuadorian
ecuadors,ecuador
ecus,ecu
ed,edited
ed,editor
ed.,editor
ed.,edited
eddied,eddy
eddies,eddie
eddies,eddy
eddoes,eddo
eddying,eddy
eddys,eddy
edens,eden
edgars,edgar
edged,edge
edgers,edger
edges,edge
edgier,edgy
edgiest,edgy
edging,edge
edgings,edging
edicts,edict
edifices,edifice
edified,edify
edifying,edify
edinburghs,edinburgh
edited,edit
ediths,edith
editing,edit
editions,edition
editorialised,editorialise
editorialises,editorialise
editorialising,editorialise
editorialists,editorialist
editorialized,editorialize
editorializes,editorialize
editorializing,editorialize
editorials,editorial
editors,editor
editorships,editorship
edits,edit
edmunds,edmund
eds,ed
educated,educate
educatedest,educated
educates,educate
educating,educate
educationalists,educationalist
educationists,educationist
educations,education
educators,educator
educed,educe
eductions,eduction
edwards,edward
eelgrasses,eelgrass
eels,eel
eerier,eerie
eeriest,eerie
effaced,efface
effaces,efface
effacing,efface
effected,effect
effecting,effect
effectors,effector
effects,effect
effectuates,effectuate
effed,eff
effervesced,effervesce
effervesces,effervesce
effervescing,effervesce
efficacies,efficacy
efficiences,efficience
efficiencies,efficiency
effigies,effigy
effing,eff
efflorescing,effloresce
effluences,effluence
effluents,effluent
effluvia,effluvium
efforts,effort
effulgences,effulgence
effused,effuse
effuses,effuse
effusing,effuse
effusions,effusion
efts,eft
egalitarians,egalitarian
egg-beaters,egg-beater
egg-processing,egg-process
egg-shells,egg-shell
eggbeaters,eggbeater
eggcups,eggcup
egged,egg
eggers,egger
eggheads,egghead
egging,egg
eggnogs,eggnog
eggplants,eggplant
eggs,egg
eggshells,eggshell
eglantines,eglantine
egocentrics,egocentric
egoisms,egoism
egoists,egoist
egomaniacs,egomaniac
egos,ego
egotists,egotist
egresses,egress
egressing,egress
egrets,egret
egyptians,egyptian
egypts,egypt
eiderdowns,eiderdown
eiders,eider
eight-tenths,eight-tenth
eight-year-olds,eight-year-old
eighteens,eighteen
eighths,eighth
eighties,eighty
eights,eight
eighty-sixed,eighty-six
eileens,eileen
eindhovens,eindhoven
einsteins,einstein
eirs,eir
eisteddfods,eisteddfod
ejaculated,ejaculate
ejaculates,ejaculate
ejaculating,ejaculate
ejaculations,ejaculation
ejaculators,ejaculator
ejectas,ejecta
ejected,eject
ejecting,eject
ejections,ejection
ejectors,ejector
ejects,eject
ejidos,ejido
eked,eke
ekes,eke
ekgs,ekg
eking,eke
elaborated,elaborate
elaborates,elaborate
elaborating,elaborate
elaborations,elaboration
elaines,elaine
elands,eland
elapids,elapid
elapsed,elapse
elapses,elapse
elapsing,elapse
elasmosaurs,elasmosaur
elasticated,elasticate
elasticised,elasticise
elasticities,elasticity
elasticized,elasticize
elastics,elastic
elastins,elastin
elastomers,elastomer
elated,elate
elates,elate
elating,elate
elbowed,elbow
elbowing,elbow
elbows,elbow
elderberries,elderberry
elderlies,elderly
elders,elder
elds,eld
eleanors,eleanor
elected,elect
electing,elect
electioneering,electioneer
electioneers,electioneer
elections,election
electives,elective
electorates,electorate
electors,elector
electrets,electret
electric-generating,electric-generate
electrical-contracting,electrical-contract
electrical-engineering,electrical-engineer
electricals,electrical
electricians,electrician
electricities,electricity
electricity-generating,electricity-generate
electrics,electric
electrified,electrify
electrifies,electrify
electrifying,electrify
electrocardiograms,electrocardiogram
electrocardiographs,electrocardiograph
electrochemicals,electrochemical
electrochemistries,electrochemistry
electrocuted,electrocute
electrocutes,electrocute
electrocuting,electrocute
electrocutions,electrocution
electrodeposited,electrodeposit
electrodes,electrode
electroencephalograms,electroencephalogram
electroforming,electroform
electrographs,electrograph
electrolysed,electrolyse
electrolytes,electrolyte
electrolyzed,electrolyze
electrolyzes,electrolyze
electrolyzing,electrolyze
electromagnetics,electromagnetic
electromagnets,electromagnet
electronic-data,electronic-datum
electronic-publishing,electronic-publish
electronics-parts,electronics-part
electrons,electron
electronvolts,electronvolt
electrophysiologists,electrophysiologist
electroplated,electroplate
electroplating,electroplate
electros,electro
elects,elect
elegies,elegy
elegises,elegise
elegized,elegize
elements,element
elemis,elemi
elephants,elephant
elevated,elevate
elevates,elevate
elevating,elevate
elevations,elevation
elevators,elevator
elevens,eleven
elgins,elgin
elicited,elicit
eliciting,elicit
elicits,elicit
elided,elide
elides,elide
eliding,elide
eligibilities,eligibility
eliminated,eliminate
eliminates,eliminate
eliminating,eliminate
eliminations,elimination
eliminators,eliminator
elisions,elision
elites,elite
elitest,elite
elitists,elitist
elixirs,elixir
elizabethans,elizabethan
elizabeths,elizabeth
elkhounds,elkhound
elks,elk
ellens,ellen
ellesmeres,ellesmere
ellies,ellie
ellipses,ellipse
ellipsoids,ellipsoid
ellipticities,ellipticity
ells,ell
elms,elm
elocutions,elocution
elongated,elongate
elongates,elongate
elongating,elongate
elongations,elongation
eloped,elope
elopements,elopement
elopes,elope
eloping,elope
els,el
elsies,elsie
elucidated,elucidate
elucidates,elucidate
elucidating,elucidate
elucidations,elucidation
eluded,elude
eludes,elude
eluding,elude
elusions,elusion
eluted,elute
eluting,elute
elvers,elver
elves,elf
elvs,elv
elys,ely
elysiums,elysium
elytra,elytrum
emaciated,emaciate
emaciating,emaciate
emanated,emanate
emanates,emanate
emanating,emanate
emanations,emanation
emancipated,emancipate
emancipates,emancipate
emancipating,emancipate
emancipations,emancipation
emasculated,emasculate
emasculates,emasculate
emasculating,emasculate
emasculations,emasculation
embalmed,embalm
embalmers,embalmer
embalming,embalm
embalms,embalm
embanking,embank
embankments,embankment
embarassing,embarass
embargoed,embargo
embargoes,embargo
embargoing,embargo
embarkations,embarkation
embarked,embark
embarking,embark
embarks,embark
embarrassed,embarrass
embarrasses,embarrass
embarrassing,embarrass
embarrassments,embarrassment
embassies,embassy
embattled,embattle
embattling,embattle
embayed,embay
embayments,embayment
embedded,embed
embedding,embed
embeds,embed
embellished,embellish
embellishers,embellisher
embellishes,embellish
embellishing,embellish
embellishments,embellishment
embers,ember
embezzled,embezzle
embezzlements,embezzlement
embezzlers,embezzler
embezzles,embezzle
embezzling,embezzle
embittered,embitter
embittering,embitter
embitters,embitter
emblazed,emblaze
emblazing,emblaze
emblazoned,emblazon
emblazoning,emblazon
emblazons,emblazon
emblematized,emblematize
emblemized,emblemize
emblems,emblem
embodied,embody
embodies,embody
embodiments,embodiment
embodying,embody
emboldened,embolden
emboldening,embolden
emboldens,embolden
emboli,embolus
embolisms,embolism
embossed,emboss
embossers,embosser
embosses,emboss
embossing,emboss
emboweled,embowel
embowered,embower
embraced,embrace
embracers,embracer
embraces,embrace
embracing,embrace
embrangled,embrangle
embroidered,embroider
embroiderers,embroiderer
embroideries,embroidery
embroidering,embroider
embroiders,embroider
embroiled,embroil
embroiling,embroil
embroils,embroil
embryologists,embryologist
embryos,embryo
embused,embus
emcees,emcee
emcs,emc
emendations,emendation
emended,emend
emending,emend
emeralds,emerald
emerged,emerge
emergences,emergence
emergencies,emergency
emerges,emerge
emerging,emerge
emigrants,emigrant
emigrated,emigrate
emigrates,emigrate
emigrating,emigrate
emigrations,emigration
emigres,emigre
emilys,emily
eminences,eminence
emirates,emirate
emirs,emir
emissaries,emissary
emissions,emission
emits,emit
emitted,emit
emitters,emitter
emitting,emit
emmas,emma
emmers,emmer
emmys,emmy
emollients,emollient
emoluments,emolument
emoted,emote
emotes,emote
emoting,emote
emotionalised,emotionalise
emotions,emotion
empaneled,empanel
empaneling,empanel
empanelled,empanel
empanelling,empanel
empanels,empanel
empathies,empathy
empathised,empathise
empathises,empathise
empathising,empathise
empathized,empathize
empathizes,empathize
empathizing,empathize
emperors,emperor
emphases,emphasis
emphasised,emphasise
emphasises,emphasise
emphasising,emphasise
emphasized,emphasize
emphasizes,emphasize
emphasizing,emphasize
empire-builders,empire-builder
empires,empire
empiricists,empiricist
empirics,empiric
emplaced,emplace
emplacements,emplacement
emplaces,emplace
emplacing,emplace
emplaned,emplane
emplaning,emplane
employed,employ
employee-owned,employee-own
employee-owners,employee-owner
employee-shareholders,employee-shareholder
employees,employee
